Name,City,ISO-3166,Country,IATA,Latitude,Longitude,Key,Hex
RAF Ascension Island,Wide Awake,AC,Ascension Island,ASI,-7.9696,-14.3937,0,0000
Al Ain International Airport,Al Ain,AE,United Arab Emirates,AAN,24.2617,55.6092,1,0001
Abu Dhabi International Airport,Abu Dhabi,AE,United Arab Emirates,AUH,24.433,54.6511,2,0002
Bateen Airport,Abu Dhabi,AE,United Arab Emirates,AZI,24.4283,54.4581,3,0003
Al Dhafra Air Base,Abu Dhabi,AE,United Arab Emirates,DHF,24.2482,54.5477,4,0004
Al Maktoum International Airport,Dubai,AE,United Arab Emirates,DWC,24.8964,55.1614,5,0005
Dubai International Airport,Dubai,AE,United Arab Emirates,DXB,25.2528,55.3644,6,0006
Fujairah International Airport,Fujeirah,AE,United Arab Emirates,FJR,25.1122,56.324,7,0007
Al Minhad Air Base,Minhad AB,AE,United Arab Emirates,NHD,25.0268,55.3662,8,0008
Ras Al Khaimah International Airport,Ras Al Khaimah,AE,United Arab Emirates,RKT,25.6135,55.9388,9,0009
Sharjah International Airport,Sharjah,AE,United Arab Emirates,SHJ,25.3286,55.5172,10,000A
Sir Bani Yas Airport,Sir Bani Yas Island,AE,United Arab Emirates,XSB,24.2836,52.5803,11,000B
Dalma Airport,Dalma Island,AE,United Arab Emirates,ZDY,24.5079,52.3361,12,000C
Bamiyan Airport,Bamyan,AF,Afghanistan,BIN,34.817,67.817,13,000D
Bost Airport,Lashkar Gah,AF,Afghanistan,BST,31.5597,64.365,14,000E
Chakcharan Airport,Chaghcharan,AF,Afghanistan,CCN,34.533,65.267,15,000F
Farah Airport,Farah,AF,Afghanistan,FAH,32.367,62.183,16,0010
Fayzabad Airport,Faizabad,AF,Afghanistan,FBD,37.1211,70.5181,17,0011
Ghazni Airport,Ghazni,AF,Afghanistan,GZI,33.5312,68.4129,18,0012
Herat Airport,Herat,AF,Afghanistan,HEA,34.21,62.2283,19,0013
Jalalabad Airport,Jalalabad,AF,Afghanistan,JAA,34.3998,70.4986,20,0014
Hamid Karzai International Airport,Kabul,AF,Afghanistan,KBL,34.5659,69.2123,21,0015
Kandahar Airport,Kandahar,AF,Afghanistan,KDH,31.5058,65.8478,22,0016
